,Name,Price,Badge,Image
118, Reynolds Blue Ink Gel Pen,₹12.90,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6284718/c3/e7/reynoldstrimax500x500.png.ab3308c3e7.999x150x150.jpg
119, Reynolds Blue Ink Gel Pen,₹20.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/7377117/24/52/trimax.jpg.83ba862452.999x150x150.jpg
120, LINC Blue Ink Gel Pen,₹5.00,3.5 - 3.99,https://assets-mkpbg.gem.gov.in/img/othe/1543026/7b/e4/frontviewofgelpen.jpg.4e497e7be4.999x150x150.jpg
121, Flair Blue Ink Gel Pen,₹5.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/5156825/ad/14/capture.png.aa71f5ad14.999x150x150.jpg
122, classmate octane  Blue Ink Gel Pen,₹6.98,4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/7636871/65/88/octane.2.jpeg.5fe0e06588.999x150x150.jpg
123, Classmate Black Ink Gel Pen,₹7.00,4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/2423215/f9/9c/gpb1.png.16dd7ef99c.999x150x150.jpg
124, Classmate Red Ink Gel Pen,₹7.50,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/3518218/d0/b7/img20230721112516copy.jpg.586a75d0b7.999x150x150.jpg
125, LINC Red Ink Gel Pen,₹7.69,4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/0012667/52/97/7.jpg.0e032d5297.999x150x150.jpg
126, rorito Blue Ink Gel Pen,₹8.43,4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/0860702/e9/c4/rbgp1.jpg.142764e9c4.999x150x150.jpg
127, ADD GEL Blue Ink Gel Pen,₹9.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/4428628/62/ee/101.jpg.0eb9ff62ee.999x150x150.jpg
128, Uniball Blue Ink Gel Pen,₹9.70,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/1340552/65/42/pen111.jpg.2d50706542.999x150x150.jpg
129, Uniball Blue Ink Gel Pen,₹9.95,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/7377117/04/e0/1111.jpg.bd9ef904e0.999x150x150.jpg
130, rorito Blue Ink Gel Pen,₹10.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/3687088/0d/a1/r1.jpeg.00d5b10da1.999x150x150.jpg
131, rorito Green Ink Gel Pen,₹25.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/2713276/ce/0c/7.jpg.580825ce0c.999x150x150.jpg
132, LINC Black Ink Gel Pen,₹5.00,4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/0012667/bd/35/4.jpg.8dd78abd35.999x150x150.jpg
133, rorito Blue Ink Gel Pen,₹5.00,4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6552237/f5/be/gelpen.jpg.b9b64ef5be.999x150x150.jpg
134, montex Blue Ink Gel Pen,₹5.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/8550163/0b/f3/download.jpeg.25d58c0bf3.999x150x150.jpg
135, unomax Blue Ink Gel Pen,₹5.00,4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/5518684/ec/46/img20220727wa0006.jpg.6a7c70ec46.999x150x150.jpg
136, HAUSER Blue Ink Gel Pen,₹5.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/4060844/67/ed/hauseractivegelpen..jpeg.d333e367ed.999x150x150.jpg
137, PENTONIC Blue Ink Gel Pen,₹6.90,,https://assets-mkpbg.gem.gov.in/img/othe/7182434/b7/bd/pentonicgel.jpeg.ec8df8b7bd.999x150x150.jpg
138, ADD GEL Blue Ink Gel Pen,₹7.00,4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/4518747/1e/75/ag1.jpg.a552451e75.999x150x150.jpg
139, unomax Red Ink Gel Pen,₹9.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6474808/37/d6/whatsappimage20230916at6.41.42pm.jpeg.13a7b537d6.999x150x150.jpg
140, unomax Blue Ink Gel Pen,₹9.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/5724776/7f/24/gelrt11.png.607ffa7f24.999x150x150.jpg
141, rorito Red Ink Gel Pen,₹10.00,,https://assets-mkpbg.gem.gov.in/img/othe/2816074/66/a0/31l5ze56ml.sy3552.jpg.72fb4566a0.999x150x150.jpg
142, ADD GEL Blue Ink Gel Pen,₹10.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/1256562/db/60/buyaddgelachievergelpenblacksuratgujaratindiaoffikart.jpg.3dddebdb60.999x150x150.jpg
